stock,date,open,high,low,close,volume
Tesla,2025-02-18,355.01,359.1,350.02,354.11,51631702.0
Tesla,2025-02-14,360.62,362.0,347.5,355.84,68277279.0
Tesla,2025-02-13,345.0,358.69,342.85,355.94,89441519.0
Tesla,2025-02-12,329.94,346.4,329.12,336.51,105382729.0
Tesla,2025-02-11,345.8,349.37,325.1,328.5,118543400.0
Tesla,2025-02-10,356.21,362.7,350.51,350.73,77514903.0
Tesla,2025-02-07,370.19,380.5459,360.34,361.62,70298258.0
Tesla,2025-02-06,373.03,375.4,363.18,374.32,77918230.0
Tesla,2025-02-05,387.51,388.39,375.53,378.17,57614721.0
Tesla,2025-02-04,382.63,394.0,381.4,392.21,57072235.0
Tesla,2025-02-03,386.68,389.17,374.36,383.68,93732122.0
Tesla,2025-01-31,401.53,419.99,401.34,404.6,83568219.0
Tesla,2025-01-30,410.78,412.5,384.41,400.28,98092879.0
Tesla,2025-01-29,395.21,398.5899,384.48,389.1,68033648.0
Tesla,2025-01-28,396.91,400.59,386.5,398.09,48910676.0
Tesla,2025-01-27,394.8,406.69,389.0,397.15,58125510.0
Tesla,2025-01-24,414.45,418.88,405.78,406.58,56427149.0
Tesla,2025-01-23,416.06,420.73,408.95,412.38,50690592.0
Tesla,2025-01-22,416.81,428.0,414.59,415.11,60963342.0
Tesla,2025-01-21,432.64,433.2,406.31,424.07,87320894.0
Tesla,2025-01-17,421.5,439.74,419.75,426.5,94991429.0
Tesla,2025-01-16,423.49,424.0,409.13,413.82,68335151.0
Tesla,2025-01-15,409.9,429.8,405.661,428.22,81375460.0
Tesla,2025-01-14,414.34,422.64,394.54,396.36,84565022.0
Tesla,2025-01-13,383.21,403.79,380.07,403.31,67580494.0
Tesla,2025-01-10,391.4,399.28,377.29,394.74,62287333.0
Tesla,2025-01-08,392.95,402.4999,387.4,394.94,73038805.0
Tesla,2025-01-07,405.83,414.33,390.0,394.36,75699525.0
Tesla,2025-01-06,423.2,426.43,401.7,411.05,85516534.0
Tesla,2025-01-03,381.48,411.8799,379.45,410.44,95423329.0
Tesla,2025-01-02,390.1,392.7299,373.04,379.28,109710749.0
Tesla,2024-12-31,423.79,427.93,402.54,403.84,76825121.0
Tesla,2024-12-30,419.4,427.0,415.75,417.41,64941012.0
Tesla,2024-12-27,449.52,450.0,426.5,431.66,82666821.0
Tesla,2024-12-26,465.16,465.3299,451.02,454.13,76651210.0
Tesla,2024-12-24,435.9,462.78,435.14,462.28,59551750.0
Tesla,2024-12-23,431.0,434.51,415.4112,430.6,72698055.0
Tesla,2024-12-20,425.505,447.08,417.64,421.06,132216176.0
Tesla,2024-12-19,451.88,456.36,420.02,436.17,118566146.0
Tesla,2024-12-18,466.495,488.5399,427.01,440.13,149340788.0
Tesla,2024-12-17,475.9,483.99,457.5101,479.86,131222978.0
Tesla,2024-12-16,441.09,463.19,436.15,463.02,114083811.0
Tesla,2024-12-13,420.0,436.3,415.71,436.23,89000158.0
Tesla,2024-12-12,424.84,429.3,415.0,418.1,87752225.0
Tesla,2024-12-11,409.7,424.88,402.38,424.77,104287559.0
Tesla,2024-12-10,392.68,409.73,390.85,400.99,97563578.0
Netflix,2025-05-06,1129.43,1147.66,1126.4,1137.69,3256682.0
Netflix,2025-05-05,1114.795,1144.02,1107.01,1134.06,5662317.0
Netflix,2025-05-02,1136.66,1159.44,1133.32,1156.49,3774282.0
Netflix,2025-05-01,1122.52,1142.42,1111.8301,1133.47,3499497.0
Netflix,2025-04-30,1112.65,1133.2005,1101.1101,1131.72,4266676.0
Netflix,2025-04-29,1103.92,1127.81,1095.48,1125.64,3777329.0
Netflix,2025-04-28,1100.0,1114.0,1082.62,1110.38,3831088.0
Netflix,2025-04-25,1097.04,1106.7984,1091.0001,1101.53,3950008.0
Netflix,2025-04-24,1048.0,1101.0,1047.02,1096.87,6381896.0
Netflix,2025-04-23,1047.225,1061.25,1032.0001,1049.59,6471876.0
Netflix,2025-04-22,1005.3,1064.97,1004.52,1040.34,9368873.0
Netflix,2025-04-21,984.4,1018.9999,973.05,987.91,9775747.0
Netflix,2025-04-17,969.0,984.7015,956.0,973.03,8893735.0
Netflix,2025-04-16,976.28,981.21,949.165,961.63,6066113.0
Netflix,2025-04-15,950.0,993.4499,948.0,976.28,7711982.0
Netflix,2025-04-14,932.7,948.98,919.4979,931.28,4035895.0
Netflix,2025-04-11,920.0,944.8599,906.68,918.29,4073638.0
Netflix,2025-04-10,931.94,941.235,894.0,921.17,5129755.0
Netflix,2025-04-09,855.93,951.43,854.4,945.47,7497974.0
Netflix,2025-04-08,912.44,922.42,857.7,870.4,5625382.0
Netflix,2025-04-07,827.845,906.74,821.1,867.83,6656823.0
Netflix,2025-04-04,896.5,906.6282,853.87,855.86,6798806.0
Netflix,2025-04-03,901.8,946.5919,900.47,917.05,5864622.0
Netflix,2025-04-02,923.0,949.5479,916.11,935.52,3256886.0
Netflix,2025-04-01,927.5,932.29,911.5,928.38,3519956.0
Netflix,2025-03-31,920.53,934.48,900.59,932.53,4634075.0
Netflix,2025-03-28,972.0,974.98,929.23,933.85,4422717.0
Netflix,2025-03-27,974.22,989.0,966.3664,976.72,3047237.0
Netflix,2025-03-26,993.81,996.79,966.32,970.65,3534707.0
Netflix,2025-03-25,978.18,998.7,977.11,997.28,3782245.0
Netflix,2025-03-24,969.67,977.0,951.55,971.99,4677871.0
Netflix,2025-03-21,941.635,963.6532,940.95,960.29,5905429.0
Netflix,2025-03-20,950.01,967.0,945.5,950.84,4466305.0
Netflix,2025-03-19,935.77,968.0,924.0,959.49,6662361.0
Netflix,2025-03-18,940.0,948.2499,916.3,929.98,6009400.0
Netflix,2025-03-17,939.95,967.63,934.42,950.02,7543146.0
Netflix,2025-03-14,901.46,919.625,901.0,918.0,5200684.0
Netflix,2025-03-13,913.0,921.8892,887.51,890.17,5001698.0
Netflix,2025-03-12,914.6,927.18,901.0,919.68,6865837.0
Netflix,2025-03-11,867.41,910.68,866.0,895.1,7398934.0
Netflix,2025-03-10,875.07,881.27,854.5,866.68,6951652.0
Netflix,2025-03-07,897.64,904.8859,858.07,891.11,7737488.0
Netflix,2025-03-06,972.99,973.69,899.0,906.36,7852559.0
Netflix,2025-03-05,973.62,995.5999,969.48,990.92,3807935.0
Netflix,2025-03-04,971.61,986.3135,948.21,972.58,4392814.0
Netflix,2025-03-03,983.0,994.93,964.81,973.7,3907447.0
Netflix,2025-02-28,969.56,982.27,958.17,980.56,4717409.0
Netflix,2025-02-27,995.0,1000.7255,961.825,963.07,3766566.0
Netflix,2025-02-26,977.6,1000.89,976.9,990.06,3397205.0
Netflix,2025-02-25,989.4,994.3999,955.0,977.24,4738304.0
Netflix,2025-02-24,1008.0,1015.17,984.48,988.47,4426227.0
Netflix,2025-02-21,1029.42,1032.38,999.39,1003.15,3738710.0
Netflix,2025-02-20,1042.0,1045.0,1015.5941,1024.54,3111831.0
Netflix,2025-02-19,1035.18,1044.9999,1024.51,1043.33,2600048.0
Netflix,2025-02-18,1060.0,1062.0,1023.749,1035.85,4229339.0
Netflix,2025-02-14,1044.95,1064.5,1041.69,1058.6,3145430.0
Netflix,2025-02-13,1026.625,1045.9899,1025.1,1043.69,3476068.0
Netflix,2025-02-12,1005.49,1027.74,998.3473,1027.31,3388966.0
Netflix,2025-02-11,1020.79,1022.69,1002.95,1008.08,3331797.0
Netflix,2025-02-10,1023.05,1032.85,1015.88,1027.6,3296566.0
Netflix,2025-02-07,1017.0,1027.76,1005.6701,1013.93,3212853.0
Netflix,2025-02-06,1007.87,1016.35,1002.61,1015.68,3134293.0
Netflix,2025-02-05,987.73,1011.825,986.68,1011.11,3997733.0
Netflix,2025-02-04,980.47,1008.0,978.51,994.87,6000137.0
Netflix,2025-02-03,973.0,987.6891,964.375,978.94,3724197.0
Netflix,2025-01-31,974.0,990.2892,974.0,976.76,3618718.0
Netflix,2025-01-30,986.75,994.59,970.0101,973.24,3867825.0
Netflix,2025-01-29,980.0,987.64,968.2345,978.15,2930728.0
Netflix,2025-01-28,966.71,977.934,957.3,971.83,3433972.0
Netflix,2025-01-27,971.1,982.27,960.26,971.89,4634204.0
Netflix,2025-01-24,984.41,986.28,967.68,977.59,4550397.0
Netflix,2025-01-23,957.81,985.0,953.9,984.86,7752137.0
Netflix,2025-01-22,998.025,999.0,950.76,953.99,14273205.0
Netflix,2025-01-21,863.53,916.4,854.745,869.68,9851351.0
Netflix,2025-01-17,859.79,865.0,852.13,858.1,3617565.0
Netflix,2025-01-16,860.96,868.98,842.02,842.37,4028537.0
Netflix,2025-01-15,836.44,850.84,830.41,848.26,3181383.0
Netflix,2025-01-14,843.2,844.8925,823.519,828.4,3037650.0
Netflix,2025-01-13,831.525,847.07,829.14,840.29,3024517.0
Netflix,2025-01-10,866.4,866.41,834.4,837.69,4803312.0
Netflix,2025-01-08,880.0,886.215,873.0,875.0,2347949.0
Netflix,2025-01-07,879.38,888.0,869.11,879.19,2649823.0
Netflix,2025-01-06,888.76,892.83,871.69,881.79,3457656.0
Netflix,2025-01-03,893.13,898.83,879.8901,881.05,2970019.0
Netflix,2025-01-02,895.5,898.58,877.0,886.73,2315685.0
Netflix,2024-12-31,901.8,902.68,889.47,891.32,1875897.0
Netflix,2024-12-30,894.51,908.2299,889.71,900.43,2202970.0
Netflix,2024-12-27,916.01,918.13,894.5,907.55,3226158.0
Netflix,2024-12-26,928.4,930.49,915.3,924.14,2342418.0
Netflix,2024-12-24,915.0,935.85,911.7,932.12,2320293.0
Netflix,2024-12-23,913.42,915.0,899.1001,911.45,2339375.0
Netflix,2024-12-20,893.21,919.9238,890.4872,909.05,4530519.0
Netflix,2024-12-19,908.18,912.6215,899.0,902.04,2815512.0
Netflix,2024-12-18,919.13,922.44,886.56,889.55,2938194.0
Netflix,2024-12-17,921.54,928.45,916.42,919.13,2459456.0
Netflix,2024-12-16,923.94,928.94,919.5,921.08,2674892.0
Netflix,2024-12-13,916.81,925.55,909.61,918.87,2485829.0
Netflix,2024-12-12,933.35,934.0886,922.6,925.55,2486197.0
Netflix,2024-12-11,924.71,941.75,923.08,936.56,3501691.0
Netflix,2024-12-10,913.76,922.88,909.58,913.35,2388575.0
AMD,2025-05-06,98.41,100.07,97.44,98.62,54264254.0
AMD,2025-05-05,99.0,102.05,98.76,100.59,41268886.0
AMD,2025-05-02,98.4,99.88,98.3,98.8,29957888.0
AMD,2025-05-01,99.265,100.1,96.45,96.65,29591507.0
AMD,2025-04-30,92.81,97.55,91.87,97.35,29730729.0
AMD,2025-04-29,95.755,97.1767,95.33,96.06,20700637.0
AMD,2025-04-28,95.575,97.4865,94.27,96.39,30456683.0
AMD,2025-04-25,93.275,97.1,92.85,96.645,28575343.0
AMD,2025-04-24,91.59,94.75,90.37,94.47,33681919.0
